"Location","Control Program","Name","Value","Type","Object ID","Device ID","Object Name","COV Increment","Offset / Polarity","Exp:Num","I/O Type","Sensor/Actuator Type","Min/Max","Locked","In Alarm","Path"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","HWR Valve Position","100.0 %","BAI","AI:10","DEV:220606","pos_fdbk_1","5","0","1:6","0-10 Volt","Linear w/ offset, 2-10 Volts","(0.00/100.00)","" ,"" ,"#hw_bridge_/pos_fdbk"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","HW Strainer DP","1.0 psi","BAI","AI:11","DEV:220606","strn_dp_1","3","0","1:2","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/10)","" ,"" ,"#hw_bridge_/strn_dp"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","Loop Diff Prs mr","4.261 psi","BAI","AI:2","DEV:220606","loop_diff_prs_1","0.5000","0","0:10","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#hw_bridge_/loop_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","Spare","0.0 psi","BAI","AI:16","DEV:220606","loop_diff_prs_mr_1","0.5000","0","0:0","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#hw_bridge_/loop_diff_prs_mr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","HHWS Temp","183.6 F" ,"BAI","AI:12","DEV:220606","prim_hws_1","0.5000","0.5","1:5","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#hw_bridge_/prim_hws"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","Pump D/P","0.1 psi","BAI","AI:1","DEV:220606","pump_dp_1","0.5000","0","0:12","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/50.00)","" ,"" ,"#hw_bridge_/pump_dp"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","Bridge D/P","4.65 psi","BAI","AI:29","DEV:220606","sec_pmp_diff_prs_1","0.5000","0","1:1","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#hw_bridge_/sec_pmp_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-1 Status","On","BBI","BI:11","DEV:220606","hwp1_status_1","" ,"normal","0:6","Dry Contact","" ,"" ,"" ,"" ,"#hw_bridge_/hwp1_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-1 VFD Fault","Off","BBI","BI:1","DEV:220606","hwp1_vfd_alarm_1","" ,"normal","0:5","Dry Contact","" ,"" ,"" ,"" ,"#hw_bridge_/hwp1_vfd_alarm"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-2 VFD Fault","Off","BBI","BI:2","DEV:220606","hwp2_vfd_alarm_1","" ,"normal","0:7","Dry Contact","" ,"" ,"" ,"" ,"#hw_bridge_/hwp2_vfd_alarm"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-2 Status","On","BBI","BI:12","DEV:220606","hwp2_status_1","" ,"normal","0:8","Dry Contact","" ,"" ,"" ,"" ,"#hw_bridge_/hwp2_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","HWR Valve","100.0 %","BAO","AO:4","DEV:220606","vlv_output_1","1.0000","0","0:6","Electrical 0-10 Volt","Linear w/ offset, 2-10 Volts","(0.00/100.00)","" ,"" ,"#hw_bridge_/vlv_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-1 VFD Speed","85.0 %","BAO","AO:5","DEV:220606","vfd_output_1","1.0000","0","1:3","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#hw_bridge_/vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-2 VFD Speed","85.0 %","BAO","AO:6","DEV:220606","p2_vfd_output_1","1.0000","0","1:4","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#hw_bridge_/p2_vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-1 S/S","On","BBO","BO:3","DEV:220606","p1_cmd_1","" ,"normal","0:3","Relay / Triac Output","" ,"" ,"" ,"" ,"#hw_bridge_/p1_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","P-2 S/S","On","BBO","BO:4","DEV:220606","p2_cmd_1","" ,"normal","0:4","Relay / Triac Output","" ,"" ,"" ,"" ,"#hw_bridge_/p2_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","Strainer Blow Down Valve","Off","BBO","BO:5","DEV:220606","str_blowdn_1","" ,"normal","0:7","Relay / Triac Output","" ,"" ,"" ,"" ,"#hw_bridge_/str_blowdn"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","HWS Temp","156.7 F" ,"BAI","AI:3","DEV:220606","bldg_hwr_2","5","0","0:9","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#building_bridge_/hw_system/bldg_hwr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","HWR Temp","154.9 F" ,"BAI","AI:4","DEV:220606","bldg_hws_2","5","0","1:2","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#building_bridge_/hw_system/bldg_hws"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","HWR Valve Position","25.05 %","BAI","AI:5","DEV:220606","pos_fdbk_2","0.5000","0","1:10","0-10 Volt","Linear w/ offset, 2-10 Volts","(0.00/100.00)","" ,"" ,"#building_bridge_/hw_system/pos_fdbk"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","HW Strainer DP","1.0 psi","BAI","AI:6","DEV:220606","strn_dp_2","3","0","1:2","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/10)","" ,"" ,"#building_bridge_/hw_system/strn_dp"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","Loop Diff Prs","3.35 psi","BAI","AI:7","DEV:220606","loop_diff_prs_2","0.5000","0","1:4","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#building_bridge_/hw_system/loop_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","Zone OM3","73.05 F" ,"BAI","AI:17","DEV:220606","loop_diff_prs_mr_2","0.5000","0","1:8","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(0.00/20)","" ,"" ,"#building_bridge_/hw_system/loop_diff_prs_mr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","Primary HHWS Temp","183.1 F" ,"BAI","AI:9","DEV:220606","prim_hws_2","0.5000","0","1:5","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#building_bridge_/hw_system/prim_hws"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","Pump D/P","53.9 psi","BAI","AI:14","DEV:220606","pump_dp_2","0.5000","0","1:3","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/100)","" ,"" ,"#building_bridge_/hw_system/pump_dp"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","Bridge D/P","4.65 psi","BAI","AI:15","DEV:220606","sec_pmp_diff_prs_2","0.5000","0","1:1","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#building_bridge_/hw_system/sec_pmp_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-1 Status","On","BBI","BI:3","DEV:220606","hwp1_status_2","" ,"normal","0:2","Dry Contact","" ,"" ,"" ,"" ,"#building_bridge_/hw_system/hwp1_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-1 VFD Fault","Off","BBI","BI:4","DEV:220606","hwp1_vfd_alarm_2","" ,"normal","0:1","Dry Contact","" ,"" ,"" ,"" ,"#building_bridge_/hw_system/hwp1_vfd_alarm"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-2 VFD Fault","Off","BBI","BI:5","DEV:220606","hwp2_vfd_alarm_2","" ,"normal","0:3","Dry Contact","" ,"" ,"" ,"" ,"#building_bridge_/hw_system/hwp2_vfd_alarm"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-2 Status","Off","BBI","BI:6","DEV:220606","hwp2_status_2","" ,"normal","0:4","Dry Contact","" ,"" ,"" ,"" ,"#building_bridge_/hw_system/hwp2_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","HWR Valve","25.0 %","BAO","AO:1","DEV:220606","vlv_output_2","1.0000","0","0:8","Electrical 0-10 Volt","Linear w/ offset, 2-10 Volts","(100/0)","" ,"" ,"#building_bridge_/hw_system/vlv_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-1 VFD Speed","20.0 %","BAO","AO:2","DEV:220606","vfd_output_2","1.0000","0","1:1","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#building_bridge_/hw_system/vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-2 VFD Speed","0.0 %","BAO","AO:3","DEV:220606","p2_vfd_output_2","1.0000","0","1:2","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#building_bridge_/hw_system/p2_vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-1 S/S","On","BBO","BO:1","DEV:220606","p1_cmd_2","" ,"normal","0:1","Relay / Triac Output","" ,"" ,"" ,"" ,"#building_bridge_/hw_system/p1_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","P-2 S/S","Off","BBO","BO:2","DEV:220606","p2_cmd_2","" ,"normal","0:2","Relay / Triac Output","" ,"" ,"" ,"" ,"#building_bridge_/hw_system/p2_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Hotwater System","spare","Off","BBO","BO:6","DEV:220606","str_blowdn_2","" ,"normal","0:0","Relay / Triac Output","" ,"" ,"" ,"" ,"#building_bridge_/hw_system/str_blowdn"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","Loop Diff Prs","10.8 psi","BAI","AI:7","DEV:220605","loop_diff_prs_2","0.5000","0","1:11","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#process_chw_system/loop_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","HX R Temp","68.4 F" ,"BAI","AI:5","DEV:220605","pcwr_2","0.5000","1","1:10","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#process_chw_system/pcwr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","HX S Temp","39.0 F" ,"BAI","AI:6","DEV:220605","pcws_2","0.5000","0","1:9","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#process_chw_system/pcws"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P1 Status","On","BBI","BI:5","DEV:220605","pcwr1_status_2","" ,"normal","0:6","Dry Contact","" ,"" ,"" ,"" ,"#process_chw_system/pcwr1_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P1 VFD Fault","Off","BBI","BI:6","DEV:220605","pcwr1_fault_2","" ,"normal","0:5","Dry Contact","" ,"" ,"" ,"" ,"#process_chw_system/pcwr1_fault"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P2 Status","Off","BBI","BI:7","DEV:220605","pcwr2_status_2","" ,"normal","0:8","Dry Contact","" ,"" ,"" ,"" ,"#process_chw_system/pcwr2_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P2 VFD Fault","Off","BBI","BI:8","DEV:220605","pcwr2_fault_2","" ,"normal","0:7","Dry Contact","" ,"" ,"" ,"" ,"#process_chw_system/pcwr2_fault"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P-2 VFD Speed","0.0 %","BAO","AO:2","DEV:220605","p2_vfd_output_2","1.0000","-1","1:4","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#process_chw_system/p2_vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","HX-2 CW Valve","17.9 %","BAO","AO:3","DEV:220605","hx_cw_vlv_2","1.0000","0","1:7","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#process_chw_system/hx_cw_vlv"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P-1 VFD Speed","57.5 %","BAO","AO:4","DEV:220605","vfd_output_2","1.0000","-1","1:3","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#process_chw_system/vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P-1 S/S","On","BBO","BO:4","DEV:220605","p1_cmd_2","" ,"normal","0:3","Relay / Triac Output","" ,"" ,"" ,"" ,"#process_chw_system/p1_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Process CHW System","P-2 S/S","Off","BBO","BO:5","DEV:220605","p2_cmd_2","" ,"normal","0:4","Relay / Triac Output","" ,"" ,"" ,"" ,"#process_chw_system/p2_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","Loop Diff Prs","10.2 psi","BAI","AI:10","DEV:220605","loop_diff_prs_3","0.5000","0","1:14","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#server_chw_system/loop_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","HX R Temp","65.3 F" ,"BAI","AI:8","DEV:220605","scwr_3","0.5000","0","1:13","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#server_chw_system/scwr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","HXS Temp","37.9 F" ,"BAI","AI:9","DEV:220605","scws_3","0.5000","0","1:12","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#server_chw_system/scws"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P1 Status","On","BBI","BI:9","DEV:220605","pcwr1_status_3","" ,"normal","0:10","Dry Contact","" ,"" ,"" ,"" ,"#server_chw_system/pcwr1_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P1 VFD Fault","Off","BBI","BI:10","DEV:220605","pcwr1_fault_3","" ,"normal","0:9","Dry Contact","" ,"" ,"" ,"" ,"#server_chw_system/pcwr1_fault"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P2 Status","Off","BBI","BI:11","DEV:220605","pcwr2_status_3","" ,"normal","0:12","Dry Contact","" ,"" ,"" ,"" ,"#server_chw_system/pcwr2_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P2 VFD Fault","Off","BBI","BI:12","DEV:220605","pcwr2_fault_3","" ,"normal","0:11","Dry Contact","" ,"" ,"" ,"" ,"#server_chw_system/pcwr2_fault"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P-2 VFD Speed","0.0 %","BAO","AO:5","DEV:220605","p2_vfd_output_3","1.0000","-1","1:6","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#server_chw_system/p2_vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","HX-1 CW Valve","14.5 %","BAO","AO:6","DEV:220605","hx_cw_vlv_3","1.0000","0","1:8","Electrical 0-10 Volt","Linear w/ offset, 2-10 Volts","(0.00/100.00)","" ,"" ,"#server_chw_system/hx_cw_vlv"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P-1 VFD Speed","41.5 %","BAO","AO:8","DEV:220605","vfd_output_3","1.0000","-1","1:5","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#server_chw_system/vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P-1 S/S","On","BBO","BO:6","DEV:220605","p1_cmd_3","" ,"normal","0:5","Relay / Triac Output","" ,"" ,"" ,"" ,"#server_chw_system/p1_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","Server CHW System","P-2 S/S","Off","BBO","BO:7","DEV:220605","p2_cmd_3","" ,"normal","0:6","Relay / Triac Output","" ,"" ,"" ,"" ,"#server_chw_system/p2_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/DHW Systems","IWH Hot Water System","CP-2A Status","On","BBI","BI:1","DEV:2060112","p1_status_1","" ,"normal","0:3","Universal Input","" ,"" ,"" ,"" ,"#iwh_hot_water_system_/p1_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/DHW Systems","IWH Hot Water System","CP-2B Status","Off","BBI","BI:2","DEV:2060112","p2_status_1","" ,"normal","0:4","Universal Input","" ,"" ,"" ,"" ,"#iwh_hot_water_system_/p2_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/DHW Systems","IWH Hot Water System","CP-2A S/S","On","BBO","BO:1","DEV:2060112","pump1_1","" ,"normal","0:3","Relay / Triac Output","" ,"" ,"" ,"" ,"#iwh_hot_water_system_/pump1"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/DHW Systems","IWH Hot Water System","CP-2B S/S","Off","BBO","BO:2","DEV:2060112","pump2_1","" ,"normal","0:4","Relay / Triac Output","" ,"" ,"" ,"" ,"#iwh_hot_water_system_/pump2"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/DHW Systems","DWH Hot Water System","CP-1A Status","On","BBI","BI:3","DEV:2060112","p1_status_2","" ,"normal","0:1","Dry Contact","" ,"" ,"" ,"" ,"#cdhw_systems_/dwh_hot_water_system_/p1_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/DHW Systems","DWH Hot Water System","CP-1B Status","Off","BBI","BI:4","DEV:2060112","p2_status_2","" ,"normal","0:2","Dry Contact","" ,"" ,"" ,"" ,"#cdhw_systems_/dwh_hot_water_system_/p2_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/DHW Systems","DWH Hot Water System","CP-1A S/S","On","BBO","BO:3","DEV:2060112","pump1_2","" ,"normal","0:1","Relay / Triac Output","" ,"" ,"" ,"" ,"#cdhw_systems_/dwh_hot_water_system_/pump1"
